target_names,direction1,direction2,direction3,direction4,direction5,direction6,direction7,direction8,left_zone,right_zone,upper_zone,down_zone,horizontal_w_to_b,horizontal_b_to_w,vertical_w_to_b,vertical_b_to_w,target
O,14.444444444444443,15.777777777777777,18.22222222222222,16.666666666666664,14.0,5.333333333333333,8.444444444444445,7.111111111111111,29.217391304347824,20.782608695652172,25.913043478260867,24.08695652173913,52.27272727272728,2.272727272727273,21.590909090909093,23.863636363636367,0
O,14.285714285714285,16.2426614481409,17.80821917808219,15.851272015655576,12.720156555772993,5.6751467710371815,9.001956947162427,8.414872798434441,25.176678445229683,24.82332155477032,25.265017667844525,24.73498233215548,48.45360824742268,2.0618556701030926,20.618556701030926,28.865979381443296,0
O,14.853556485355648,16.736401673640167,17.99163179916318,16.527196652719663,13.807531380753137,5.230125523012552,7.740585774058577,7.112970711297071,27.863777089783284,22.13622291021672,25.696594427244584,24.30340557275542,55.43478260869565,2.1739130434782608,18.478260869565215,23.913043478260867,0
O,15.17094017094017,16.88034188034188,17.94871794871795,16.23931623931624,13.247863247863247,4.700854700854701,7.905982905982905,7.905982905982905,27.77777777777778,22.222222222222225,24.57912457912458,25.420875420875422,54.44444444444445,2.2222222222222223,16.666666666666668,26.666666666666668,0
O,14.538310412573672,16.30648330058939,17.87819253438114,16.30648330058939,13.163064833005894,5.304518664047151,8.447937131630647,8.055009823182711,25.950413223140497,24.049586776859506,25.041322314049587,24.958677685950413,51.546391752577314,2.0618556701030926,19.58762886597938,26.804123711340203,0
O,14.69298245614035,16.666666666666664,17.982456140350877,15.789473684210526,13.157894736842104,5.482456140350877,8.552631578947368,7.675438596491228,26.18595825426945,23.814041745730552,23.814041745730552,26.18595825426945,51.13636363636364,2.272727272727273,19.31818181818182,27.272727272727273,0
O,15.212527964205815,16.554809843400445,18.120805369127517,16.331096196868007,13.422818791946309,4.47427293064877,8.053691275167784,7.829977628635347,27.009345794392523,22.990654205607477,24.485981308411215,25.514018691588785,54.02298850574712,2.2988505747126435,17.241379310344826,26.4367816091954,0
O,14.8619957537155,16.985138004246284,18.04670912951168,15.711252653927813,13.375796178343949,5.520169851380043,8.280254777070065,7.218683651804671,26.950998185117967,23.049001814882033,24.047186932849364,25.952813067150636,52.74725274725275,2.197802197802198,18.681318681318682,26.373626373626376,0
O,14.763779527559056,16.338582677165356,17.913385826771655,16.141732283464567,13.779527559055119,5.511811023622047,8.267716535433072,7.283464566929134,27.392739273927393,22.607260726072607,23.762376237623762,26.237623762376238,56.52173913043478,2.1739130434782608,15.217391304347824,26.08695652173913,0
O,14.340344168260037,15.678776290630974,18.164435946462714,16.061185468451242,13.193116634799235,5.353728489483747,9.177820267686425,8.030592734225621,26.985413290113453,23.014586709886547,25.040518638573744,24.959481361426256,48.51485148514851,1.9801980198019802,21.78217821782178,27.722772277227723,0
O,15.13157894736842,17.105263157894736,17.982456140350877,16.228070175438596,13.596491228070175,5.0438596491228065,7.675438596491228,7.2368421052631575,26.95035460992908,23.04964539007092,24.46808510638298,25.53191489361702,55.68181818181819,2.272727272727273,17.045454545454547,25.000000000000004,0
O,14.979757085020243,16.59919028340081,18.218623481781375,15.991902834008096,13.562753036437247,5.060728744939271,8.299595141700404,7.28744939271255,27.364864864864863,22.635135135135133,24.83108108108108,25.16891891891892,53.12500000000001,2.0833333333333335,18.75,26.041666666666668,0
O,15.086206896551722,16.810344827586206,18.103448275862068,16.163793103448274,13.577586206896552,4.956896551724138,7.974137931034482,7.327586206896552,26.075731497418243,23.924268502581754,23.666092943201377,26.333907056798623,54.44444444444445,2.2222222222222223,17.77777777777778,25.555555555555557,0
O,14.870689655172413,16.379310344827584,18.103448275862068,16.379310344827584,13.577586206896552,4.956896551724138,8.189655172413792,7.543103448275861,26.371681415929203,23.628318584070797,24.690265486725664,25.309734513274336,53.333333333333336,2.2222222222222223,18.88888888888889,25.555555555555557,0
O,14.350797266514807,16.62870159453303,17.995444191343964,16.173120728929383,13.895216400911162,6.150341685649202,8.200455580865604,6.605922551252847,25.932835820895523,24.06716417910448,23.32089552238806,26.679104477611943,52.94117647058824,2.3529411764705883,21.176470588235293,23.529411764705884,0
O,14.864864864864865,16.89189189189189,18.01801801801802,16.216216216216218,13.73873873873874,5.405405405405405,7.882882882882883,6.981981981981982,27.611940298507463,22.388059701492537,24.253731343283583,25.74626865671642,54.651162790697676,2.3255813953488373,18.6046511627907,24.41860465116279,0
O,14.61187214611872,16.666666666666664,17.80821917808219,17.123287671232877,14.15525114155251,5.47945205479452,7.30593607305936,6.8493150684931505,27.214022140221402,22.785977859778598,25.0,25.0,57.14285714285714,2.380952380952381,19.047619047619047,21.428571428571427,0
